id;IC;PTR;NRz;DRY;DMCsg;PPA;PA;PRz
2019g-08-53;2019g-08-53;48.6422167398113;34.0275206832152;3.82928518431064;8.65069027276798;32.2253391204116;31.6719729471582;3.54453347330348;1.07778488453976
2019g-08-67;2019g-08-67;35.1248545945563;10.1785115297967;3.29404078931388;5.40975904067557;34.8511889738479;15.6445569411443;3.54453347330348;0.702302142943535
2019g-08-68;2019g-08-68;55.5583379705365;26.229155131645;4.41464609569287;7.12520302865466;33.1947962164029;19.2444100107962;3.32235422192863;0.947354037458965
BGM-0018;BGM-0018;39.0833031894713;21.9120751592717;3.60711778605344;7.3214429955257;37.6131560390195;33.3384561186844;3.03959768322467;1.14401869502704
BGM-0049;BGM-0049;43.8101663236839;34.4238102195624;3.62141276016531;10.9013708673624;37.1906003047994;40.0882675167579;2.72938893026299;2.45227961574652
BGM-0058;BGM-0058;47.976600030794;34.3461490127087;3.7842512010583;9.68406071539269;33.3481260364493;31.5464355955932;2.89992215670742;2.04517727485798
BGM-0069;BGM-0069;45.6501821280962;21.9829885206254;3.43601476352703;6.65635996135827;35.0782111731988;24.0336433885635;3.0511622557966;2.23489487061186
BGM-0076;BGM-0076;38.9108451846068;18.6257681574499;3.90250372410281;6.64055731123318;38.8477276091582;28.2103230954728;4.15454430378007;1.42069018883479
BGM-0082;BGM-0082;49.0368733727769;27.4843164717435;3.52870676782708;8.87750671276211;34.979348228829;28.203903981382;2.56668383011204;0.756678603696201
BGM-0199;BGM-0199;40.0145671712128;11.4000152253595;2.25537272456123;3.85579904287601;34.419973489795;17.684733292615;3.59099100181183;1.16372249502049
BGM-0202;BGM-0202;54.8401383514268;20.2391332639673;3.70528888568888;5.36288402195718;31.10274538744;17.0058600442631;3.08599745974349;0.939754473050659
BGM-0204;BGM-0204;51.9875589404038;18.5358835611786;5.08260764940061;5.24651555129859;32.7296484061033;16.2096426800173;3.51583143364582;1.50100236048923
BGM-0212;BGM-0212;47.5306945021244;14.5592134059668;3.49558383205953;4.34284705884026;34.5127126289615;17.0774495502259;1.71297656324377;1.67095770668541
BGM-0246;BGM-0246;60.5533542100241;29.6937446985883;3.17838481844025;8.79623820520938;34.3862227225481;14.6933488264427;3.41898327076488;1.15713921818531
BGM-0297;BGM-0297;36.2632621119152;11.2603801185384;3.20144670952253;3.70591187083031;34.073901941892;22.8110290742774;2.21925962755631;0.76195453897287
