Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
157;BGM-0096;5;5;5;3;3;7;3;5;3;1;1;5;1;9;3;3;5;1;4;1;1;1;2;2;7;5;3;0;3;3;1;3;0;18.7;4.02;4.669242875;31.16;3.61;30;68.88666667;7.92154278878565;5.10690020740293;2.68946595098974;6.16610015512718;33.5852215877869;21.5698480424717;30.1764343735262;41.8103399749282;2.21674737421521
159;BGM-0098;7;7;3;5;2;6;1;5;3;1;1;5;1;5;3;3;5;1;1;1;2;2;2;2;7;5;3;0;4;3;2;5;100;14.88;5.44;2.7373181;32.36;3.333333333;20.66666667;72.54333333;6.18753892481935;5.7272311879349;3.09916396955279;4.8618885867095;35.8149129016433;14.6594529720872;26.484764244377;36.0411633958097;2.08242477872087
165;BGM-0113;3;7;5;3;3;8;3;5;4;1;1;5;1;5;3;3;5;1;2;1;3;1;2;1;7;3;3;0;3;3;3;5;90;13;4.3;3.02425518;24.16;2.85;26;51.55333333;6.18753892481935;4.03559442651072;3.35249484955825;3.98599804205898;32.3845252363718;6.49221521600634;14.9237196432186;28.845217527775;1.96645894266485
166;BGM-0113-RcxCr;3;2;3;5;3;9;4;5;4;1;1;3;0;5;3;7;3;2;2;2;2;3;1;3;7;5;3;1;3;3;2;3;80;12.4;3.44;3.671794872;11;2.456666667;26.5;60.84666667;5.15411024999123;5.70388334456085;3.20053707801954;6.70575238986324;35.6771872130887;36.6311864979444;29.0147479275099;52.4975710384301;2.09035144474048
173;BGM-0120;9;5;5;5;3;8;2;5;4;4;2;3;0;5;3;7;5;1;1;1;2;0;1;2;7;5;2;1;3;3;1;7;90;20;5.4;3.709563543;27.94;1.326666667;26;58.69888889;7.87590830441218;5.01110473493726;3.43186554818912;7.09548194392099;31.9329913719846;29.4724771636306;31.4145330819674;50.2695526432326;2.19953954515172
213;BGM-0163;5;2;5;3;3;9;3;3;4;1;1;3;1;5;3;3;5;1;3;1;2;1;1;2;7;5;3;0;3;3;2;5;120;16.36;5.16;3.170623764;24.92;2.23;21.77777778;66.92888889;7.96719769880812;4.53234508122898;2.25742709451066;7.79563463312844;38.2418285131497;22.4600123786065;29.2495226563359;42.2398088249883;2.39013588634027
215;BGM-0165;9;3;5;3;3;6;3;3;4;1;1;5;0;5;7;3;5;1;1;1;3;3;2;3;7;5;3;1;3;3;2;5;90;17.74;4.92;3.631254719;29.12;2.206666667;32.66666667;45.16;6.02387265172664;5.5485795832654;3.22839821224424;6.53756859614903;37.0285906069798;26.9337893565849;21.6195856497658;55.4062812635483;2.03924488671637
216;BGM-0166;3;5;5;5;3;6;2;5;4;1;1;5;1;5;3;7;5;1;3;1;1;2;2;2;7;0;3;0;4;7;2;5;0;19.2;4.76;4.032161107;31.44;3.623333333;26.66666667;53.82666667;3.40459470102453;3.61648592049993;3.04411728832932;8.03848088198923;34.9475519437485;24.9204352918784;25.3091710595175;44.4948160314893;2.18169908543729
225;BGM-0178;5;7;5;3;3;9;2;3;1;1;1;5;1;5;3;7;5;1;2;1;1;2;2;3;3;5;3;0;4;3;3;5;100;11.98;3.72;3.216253403;16.04;2.623333333;27.625;64.90416667;7.97510675976724;3.49494629841022;3.29378866400601;7.54676460217735;36.1348587027712;20.767280428792;24.5409926403265;44.6369334404123;1.95906835895704
229;BGM-0183;7;7;3;5;2;7;1;5;3;1;1;5;1;5;3;3;5;1;1;1;1;3;1;4;7;0;3;0;4;7;1;3;0;22.12;5.36;4.133408221;29.5;3.176666667;36.66666667;59.66333333;3.76165391831386;4.22918562695248;3.75862010020658;5.50251652097596;31.847855975833;20.095782069128;25.3870191433895;43.8963092518291;2.07147280147029
240;BGM-0202;5;3;5;3;3;5;2;5;4;1;1;3;0;5;3;3;5;1;2;1;1;0;1;1;7;0;3;0;3;3;1;5;0;12.22;4.12;2.962977869;19.7;2.79;24.20833333;61.19;4.12944369064742;4.36357380629218;3.06881177044961;6.34405241070714;31.795672732943;21.4434917531892;17.697555997428;54.3509919343919;1.96839065370295
241;BGM-0204;7;3;5;3;2;6;2;3;4;4;2;3;0;5;3;3;5;1;1;1;3;1;1;2;7;5;3;0;3;3;1;5;90;14.84;4.38;3.384081633;19;1.82;22;58.03;6.15361717336118;6.32402985054562;3.50888742948902;4.54115604838717;33.2553285177617;18.119227052644;16.3453099394508;51.1157810730206;1.68578331965822
243;BGM-0206;7;1;5;3;1;5;4;3;4;2;1;5;1;5;3;3;5;1;1;1;2;0;2;2;7;0;3;0;3;7;1;3;80;15.72;4.1;3.835083077;21.24;2.94;20.66666667;58.57222222;7.83510652682644;3.72830083329962;3.68039715784347;3.93690243966693;32.6753880652753;9.13126419442724;14.935513664744;37.4793115331942;1.62074994712086
261;BGM-0236;5;5;5;3;3;6;1;3;1;1;1;5;1;5;3;3;5;1;2;1;3;1;2;2;7;5;2;1;4;3;2;5;90;11.04;4.08;2.70087969;15.14;2.276666667;34.04166667;64.48166667;6.07018718984737;4.48126035105734;2.82246345985797;6.75674091080833;34.1391974326855;23.9476740251923;19.9870565012307;51.2910859955782;1.89966513435852
268;BGM-0246;7;7;5;7;3;9;3;5;4;1;1;3;1;2;3;3;5;1;1;1;2;1;2;3;7;5;3;0;3;3;2;5;100;14.82;4.42;3.345725339;23.86;3.003333333;23.33333333;71.45666667;7.24405039440734;3.77822977454743;3.49709377659017;8.4574825286387;34.2047742425058;29.760175489116;16.6367422777278;59.7922928988653;1.68225363440332
273;BGM-0250;7;3;5;3;2;5;2;3;3;3;2;3;1;5;3;3;5;1;1;1;2;2;1;2;7;3;3;1;4;7;1;7;100;15.64;4.88;3.208358735;20.14;1.896666667;25.66666667;45.74;6.18753892481935;4.44662945431384;2.95367851253822;4.881552019485;32.050545318425;15.9608360423083;13.7807661729263;50.3648568833864;1.77088012612094
274;BGM-0252;5;5;3;3;2;5;4;3;4;3;2;3;1;5;1;3;3;1;1;1;3;2;1;3;7;5;3;1;3;5;2;5;120;12.38;3.8;3.277371284;15.56;1.39;25.66666667;52.61;3.81308749104245;4.74721222726608;3.31849541765019;6.57999011189435;32.3528380589488;18.931736092241;20.5446583081128;48.1275822067453;1.90852572718254
280;BGM-0263;7;5;5;7;3;6;2;5;4;2;1;3;1;5;3;3;5;1;3;1;2;2;2;3;7;5;2;0;4;7;1;7;60;10;2.6;3.846153846;14.1;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.24510624943071;3.83806618790095;27.0853831229301;10.9479488694552;13.2701871288745;34.4548298019973;1.84182848734832
308;BGM-0304;9;5;5;3;1;5;4;5;4;4;1;5;1;5;3;3;5;1;2;1;3;2;1;2;7;5;3;1;3;3;1;5;80;11.88;3.26;3.651348399;13.84;2.33;26.88888889;47.17;7.83510652682644;3.77624000477385;2.68760635143983;4.45214928666364;31.1155895987126;9.68448064208338;12.9231294341007;41.2707667963437;1.82276610242785
315;BGM-0315;7;7;5;3;3;7;1;5;1;1;1;5;1;3;3;7;5;2;1;1;2;1;2;2;3;5;3;0;4;7;3;7;80;13.7;2.84;4.888382422;16.86;2.25;24.33333333;52.69666667;5.51274717202405;3.48735213613056;2.7582390961024;4.66641354039076;35.4347121001534;11.9051937597167;21.0188145314335;35.4630760495491;1.95312972326001
322;BGM-0326;5;5;5;3;3;8;2;5;2;2;1;5;1;5;3;3;5;1;1;1;1;1;2;1;3;5;3;0;4;7;2;5;70;12.62;3.84;3.293735113;20.38;1.643333333;23.38888889;58.11888889;6.18753892481935;5.137231190238;2.3486522521043;4.46627316834313;33.0817824288459;14.3008864330824;24.1139986127979;34.6873613218857;2.26727199130644
323;BGM-0327;5;3;5;3;3;9;4;3;4;4;3;5;0;5;3;7;5;1;2;1;2;2;2;3;7;3;3;0;3;3;2;5;100;10.96;2.94;3.734811695;15.2;2.94;20.55555556;41.89111111;6.70727944481138;2.46311349908423;3.93512454094097;4.53948535739894;36.9823043288912;12.026758817878;18.0803771743142;36.3617441013166;2.07637509479672
327;BGM-0336;5;3;5;3;3;5;4;3;4;3;1;5;1;5;3;3;5;1;1;1;2;1;2;2;7;5;3;0;4;3;1;5;70;14.32;2.8;5.114219577;15.9;1.88;24.14583333;57.59333333;6.42769869937946;6.59961991417982;3.28245546278058;6.13828679640025;32.0107134306313;22.1410820411424;22.3176724824646;46.3213362045282;2.26221660811664
328;BGM-0337;7;5;5;3;3;9;2;5;4;1;1;5;1;5;3;3;5;1;1;1;1;0;2;2;7;5;3;0;3;3;2;5;0;15.02;4.44;3.412052543;27.72;1.666666667;29.66666667;40.32333333;6.18753892481935;4.39224746951222;2.75262111887899;7.99560271186782;36.5932363455227;30.4735985455719;20.6325743394441;57.0959048382631;2.10677336358223
336;BGM-0352;5;7;5;5;1;7;4;7;3;1;1;5;1;5;3;7;5;1;1;1;3;2;2;1;7;5;3;1;4;3;2;5;90;14.76;3.66;4.030571716;22.02;1.596666667;23;59.11333333;3.72025234532753;3.69791752623547;3.57904966618149;5.81448017900782;28.0848871209354;22.2879444797479;14.7100882904353;60.2541610014322;1.76488196405549
356;BGM-0383;5;7;5;3;3;6;3;5;4;2;1;3;1;2;3;3;5;1;2;1;3;2;2;3;7;3;3;1;4;7;1;5;120;10.34;3.72;2.779532164;10.8;3.113333333;22.66666667;54.17333333;3.80965615424977;4.03559442651072;4.28275267937663;3.8213909165765;36.4953408925894;9.98632520720511;11.2529633750229;49.780373362636;1.64592692627692
367;BGM-0399;7;3;5;3;3;6;3;3;4;1;1;5;0;5;3;3;5;1;1;1;2;2;2;2;7;5;3;0;3;3;1;5;0;13.04;3.82;3.414534413;19.26;3.066666667;25.66666667;72.87583333;6.16294112383206;4.35497605195883;2.71031460619698;6.17948009135148;33.9241119158926;19.929541931788;27.2316135836694;40.9596595330735;2.08659248558796
375;BGM-0411;5;7;5;5;3;9;2;5;4;1;1;5;1;5;3;7;5;1;1;1;2;1;2;2;7;5;3;0;3;3;2;5;90;12.34;3.8;3.254177309;14.26;2.69;31.41666667;59.9825;8.06786069375194;4.85386746230941;3.21923335115329;5.45979713254329;36.5430171747673;17.8922399436156;27.792208467239;39.4317917036922;1.94735825957524
393;BGM-0437;7;5;5;3;2;6;1;5;2;1;1;5;1;9;1;3;5;1;4;1;1;0;2;2;3;5;2;0;3;3;1;3;0;13.2;2.42;5.465272209;22.36;1.536666667;21.77777778;45.36888889;4.17364669045923;4.52025909118073;3.4244487848898;3.40093424637475;33.5585261705453;7.33679355706307;9.83124130385304;45.9619297010769;1.65647643860133
398;BGM-0442;5;3;5;5;3;9;3;5;4;1;1;5;1;5;3;3;5;1;2;1;1;0;2;2;7;0;3;0;3;3;2;5;0;11.72;2.64;4.451455896;13.28;2.223333333;34.5;68.35916667;5.84545452884541;6.00456719039772;3.30699667084946;8.51989596472789;34.6165179981429;36.1335769299722;32.3807308217315;51.517127691412;2.38643482546813
399;BGM-0443;7;5;5;3;3;9;3;5;4;3;1;3;1;5;7;3;3;1;1;1;3;3;1;3;7;3;3;1;3;3;2;5;80;13.18;3.82;3.499820691;19.06;1.573333333;22.01111111;50.73444444;2.62026100780778;2.73877712012043;3.97034438703239;3.9825476610972;37.5514371623171;8.95695769960686;13.6893671820852;33.1074378108626;1.91047663663171
407;BGM-0456;7;5;5;3;3;9;2;3;4;1;1;5;1;5;3;7;5;1;2;1;3;2;1;1;7;5;3;0;4;7;1;7;80;15.56;5.48;2.853416723;24.64;2.803333333;26;43.54333333;6.18753892481935;3.83251134209655;2.96413675871281;3.93996974724592;32.3669405386851;8.91314782514265;23.2508354548349;28.3578112549659;2.17142770502008
417;BGM-0470;5;2;5;3;3;9;3;3;4;2;3;5;0;5;1;3;5;1;2;1;4;2;2;2;7;5;3;0;4;3;1;5;100;11.32;3.32;3.420352399;18.64;3.64;18.875;57.14333333;7.9631187153582;2.97543486859111;3.77581825602403;5.05472551947121;38.2350083891272;13.7721146547569;19.7380896074882;36.4845983591795;1.94159501577947
426;BGM-0480;9;7;5;5;3;9;3;7;4;1;1;3;1;5;3;7;5;1;1;1;2;0;2;2;7;5;3;0;3;3;2;3;90;15.58;3.72;4.185950853;23.36;2.28;22.66666667;47.21333333;4.06780536570471;4.01356855810625;2.77367443430352;4.55162693453464;36.2024632441186;10.8519678421831;22.9890133723221;31.2775839872633;2.18754256282124
428;BGM-0489;5;3;5;3;3;6;2;3;4;1;1;5;0;5;3;7;5;1;1;1;1;0;2;1;7;5;3;0;3;3;1;5;0;11.02;3.42;3.228094197;15.78;3.03;23.33333333;67.41083333;6.88872773282923;4.24599015240765;3.26871303047981;7.57566716866286;33.2439984639619;21.6437877559739;22.3160682923016;43.9526551646316;2.1129689197969
441;BGM-0508;3;1;5;3;2;3;4;3;4;4;1;5;1;5;3;7;5;1;1;1;2;3;2;2;7;5;3;0;4;3;1;5;90;11.64;4.34;2.669774655;15.82;2.456666667;10.66666667;47.46333333;4.22503390788386;2.54287809638326;3.88758005899599;4.05356285155005;34.1726300610936;9.86840815292046;12.7617721005463;34.6752092171209;1.70143504563091
474;BGM-0561;7;7;5;5;2;7;1;5;1;1;1;5;1;2;7;7;5;1;1;1;1;0;2;2;3;5;3;0;4;7;2;3;0;11.98;4.02;2.990115876;14.08;2.15;22.41666667;44.00916667;8.02220578372947;5.03278094021951;3.50403828739553;4.11599000221036;34.7812170724791;9.47915355911185;16.6737612572478;38.2855752375594;1.69560143830538
512;BGM-0620;7;5;3;3;3;9;3;3;4;4;1;5;1;5;3;3;5;1;2;1;3;3;2;2;7;3;3;0;4;7;2;5;100;11.26;3.74;3.016929795;16.12;1.19;15;40.82666667;6.20771849935347;3.8000155950889;3.60595469263927;4.10170260236621;38.5627057886401;11.4980539769266;19.9859566738958;33.8643145398246;2.04938309996786
514;BGM-0624;7;7;3;5;2;3;4;7;4;1;1;3;1;5;3;3;5;1;1;1;2;2;2;2;7;5;3;1;3;5;3;7;70;16.26;5;3.255785373;26.8;1.3;22.88888889;61.07777778;4.01769160810507;3.59778576174353;3.71840477555252;4.17559978575678;27.8853418124524;16.6004326210337;16.710720458194;48.9376957371935;1.81716473823777
516;BGM-0626;7;3;5;5;3;9;2;5;4;1;1;5;0;5;7;7;3;1;1;1;2;3;1;3;7;3;3;1;3;3;1;5;100;14.04;4.34;3.234448872;20.72;2.456666667;20;47.72333333;6.02695723293327;3.8709290019978;3.08570416026347;3.72421558519319;36.2837273492503;8.88505839245753;21.5965444807764;29.4391750985366;1.74796238290051
517;BGM-0630;5;2;5;3;3;6;2;3;4;1;1;5;0;5;3;3;5;1;2;1;1;0;2;2;7;3;2;0;4;5;1;3;0;16.26;5.28;3.07779334;23.32;0.88;19.55555555;37.40888889;7.23171876554929;3.93611441933761;4.01230321154937;3.94939896777998;33.6385390818067;15.3141930657137;20.4730896105967;34.8719554940954;1.8718986194158
534;BGM-0654;7;5;5;3;2;5;4;3;4;1;1;5;1;5;3;7;5;1;1;1;2;1;2;2;7;5;3;0;3;3;1;5;70;18.28;5.5;3.335742805;24.44;2.28;24.44444444;58.21222222;7.85020677948608;2.95013076872453;3.15807113874422;3.78358253473782;29.4008467173529;8.5286965434807;14.4488016018063;39.0003876484065;1.87826718025469
538;BGM-0659;9;5;5;3;2;5;4;5;4;4;2;5;1;5;3;3;5;1;1;1;1;0;2;2;7;5;3;0;4;3;1;3;0;14.08;3.7;3.804544018;19.86;2.523333333;20.875;58.6875;6.20771849935347;5.19417164158825;2.28195661070794;5.30771684143547;31.1994749435254;20.254785144421;26.434524589799;43.1820633504384;2.17175671531723
549;BGM-0671;3;2;5;3;3;6;3;3;4;1;2;5;1;5;3;7;5;1;1;1;2;0;2;2;7;5;3;0;4;3;1;5;60;12.3;2.5;5.0000481;18.54;1.876666667;25;58.71416667;4.38160565119085;6.14681067530523;2.93711406471761;4.84805765150132;30.7905709520268;15.0703407767416;12.097528425559;56.9119739698682;1.63854781595325
559;BGM-0693;5;2;5;3;3;9;3;3;4;1;1;3;1;5;3;7;5;1;1;1;2;1;1;2;7;5;3;0;4;3;3;5;90;14.44;3.66;3.948379313;19.74;3.076666667;28;71.36666667;8.00030244853368;5.33959070827466;4.0722159792674;8.25960793939662;35.672963001955;34.8600297456387;28.7515143008003;53.2080851000107;2.16159326581517
562;BGM-0697;5;3;5;3;3;9;3;3;4;1;1;7;1;5;5;3;5;1;2;1;2;1;2;2;7;5;3;0;4;3;2;5;90;12.04;4.2;2.872627925;19.66;2.32;32.04166667;60.68916667;8.08668309917548;5.59248688602681;4.08003979531932;5.93697721500694;35.6474003176142;23.7052880752196;21.1868340619599;50.9490013889238;1.94122319296057
568;BGM-0707;3;2;5;3;3;6;3;3;4;3;1;5;1;5;3;7;5;1;1;1;2;2;2;2;7;5;2;1;4;3;1;3;80;20.34;5.44;3.754841218;25.4;2.336666667;21.75;53.9725;4.90657585526762;3.44770939218641;3.9830005267386;6.92607789083312;36.3283916980249;18.0920050438861;19.8752366512532;44.7515166236114;1.79602810762483
574;BGM-0717;3;7;5;3;3;6;3;3;4;1;1;5;0;5;3;7;5;1;1;1;2;0;2;2;7;5;3;0;3;3;2;5;90;16.12;4.78;3.376485929;20.82;2.91;30.08333333;69.4925;5.37978638594536;4.24278576640602;2.72914553300086;7.918462163355;35.7656007287748;29.0321386592864;28.933619278937;48.9707341228084;2.31960846701989
593;BGM-0783;7;3;5;3;2;8;3;3;4;2;1;5;1;5;3;3;5;1;3;1;2;0;2;3;7;3;3;0;3;5;1;7;90;16.52;4.34;3.808737374;25.14;2.486666667;24.72222222;66.63;7.981651047062;3.56898035334076;2.77521565327347;4.31903140323819;37.5242865395357;15.5744296957394;22.0919165840785;37.7835508797551;1.97430246307096
