Acessos;IC;PTR;NR;DRY;DMCsg;PPA
BGM-1325;BGM-1325;34.9760273101973;12.3857472647582;3.47447671168515;4.3558734577178;37.2421764898181;29.9731205759254
BGM-1327;BGM-1327;25.5771808361064;5.73452806620807;2.38752860326679;2.911448381772;29.7718074746328;12.1513088811048
BGM-1347;BGM-1347;41.8606061781009;15.4542365725653;4.41453564552849;5.08262263133994;34.792927041453;27.4502622824666
BGM-1349;BGM-1349;29.0150956436922;7.15293790694373;3.36967325864387;3.46775288499012;36.5233879384163;21.9406236520216
BGM-1362;BGM-1362;40.3470962444561;14.2748170930197;5.40404296432744;5.44102720226206;35.8670192225022;16.5648105108536
BGM-1473;BGM-1473;20.9900189186101;14.226691539392;4.03559442651072;5.15553281110748;34.8431426216252;13.6745635951553
BGM-1508;BGM-1508;46.2076926213843;19.5071303380791;3.62520467141438;5.89846233058385;33.1259981234638;17.2329986390005
BGM-1516;BGM-1516;43.6731186499764;21.6284881744075;4.75867054086598;5.06328263282199;37.3562600889771;23.9356224618767
BGM-1534;BGM-1534;37.5128767479876;19.9035697447282;3.99378391181356;5.5999113394612;34.5305189597364;37.2967472968081
BGM-1608;BGM-1608;55.1042190681886;25.4596995894723;4.03559442651072;6.95690157504184;33.0198952499852;18.0913846606284
BGM-1623;BGM-1623;58.5595605649725;33.3448496842463;3.974876726107;7.66397139828989;32.727794356149;23.8198769381471
BGM-1661;BGM-1661;54.9890787648329;18.0284828960811;4.45102840084838;4.95033301025997;33.3896612685362;14.8789391610217
BGM-1683;BGM-1683;51.1839777206483;21.4966790872034;5.00852405460602;6.8207001810699;35.5675823055754;19.5722812737704
BGM-1706;BGM-1706;43.4556184410788;12.2627116461836;5.22169488371278;4.30205700316528;31.783577893331;14.3197451861055
BGM-1731;BGM-1731;38.0957171797994;8.05002980382949;4.03559442651072;3.99591602183;37.3475165071842;13.3302651461521
BGM-1810;BGM-1810;49.0259385193075;30.3474208739254;4.03559442651072;8.0885079236808;34.8859404141582;27.3437537832251
BGM-1884;BGM-1884;34.0092008887862;14.1421385463378;3.27774540677987;4.59907862379254;28.0803056035941;22.3290822933419
BGM-1942;BGM-1942;47.1271891182296;27.0762313031095;3.98084641788996;6.79037926610543;28.9193126532811;27.085314857639
BGM-1957;BGM-1957;41.9884602600755;18.3893237618978;3.56977566041077;5.21439004857446;30.3397148387435;24.806203769508
BGM-2028;BGM-2028;48.3138878232871;16.2767963057067;4.37691752369408;5.36798004378347;36.9537400369401;17.8675267904454
BGM-2048;BGM-2048;57.5055103845073;22.2067190339661;3.6768591447564;6.5642880684717;36.8909846385698;15.5875358735272
BGM-2055;BGM-2055;64.2791521407335;23.4298462732305;4.90784024922297;6.35640312877209;31.8566229773594;10.8432384750098
BGM-2057;BGM-2057;50.4284783543043;23.4051062775492;4.21397978195377;6.11683626862771;31.2031527311041;22.8627331894796
BGM-2091;BGM-2091;50.4448162825627;12.9161855060546;2.81959406410492;5.58746216138872;33.432165979049;12.8371480761639
BGM-2114;BGM-2114;58.0422220539203;14.8441526116786;3.30643790361635;4.85755134338984;31.923241360869;10.6948502604217
BGM-2121;BGM-2121;46.6098764322796;31.9433804606674;5.27777641994277;7.64361209749306;35.2410693160212;38.0920181406178
BGM-2169;BGM-2169;52.5861404366991;18.2190698053805;6.07467573622495;5.73470032992725;35.9037170272966;17.2792923546382
BGM-2206;BGM-2206;41.6052285078592;10.8268552170711;3.30643790361635;6.03636545982231;36.2510667176191;14.2861525883842
BGM-2264;BGM-2264;52.8851130484396;22.930769850672;4.16594245791577;8.36793723633181;36.4274958490572;21.968786048162
BGM-2291;BGM-2291;64.7739085937939;14.2560445588707;4.03559442651072;5.60670897038074;34.8537595984227;13.3876162774887
BR-11-34-41;BR-11-34-41;53.1541775654398;33.6108477785051;6.33469830171752;8.40449809836846;33.1183012417035;27.7081056318168
BRS-396;BRS-396;53.5735530634342;13.1470498246994;3.99516820902693;6.32720453314042;30.7270182988752;13.2352676384224
BRS-Amansa-Burro;BRS-Amansa-Burro;46.9238754868927;27.5095608801184;5.50441731332805;8.69710322150294;37.3564533809005;28.3249295387292
BRS-Caipira;BRS-Caipira;51.9161781875002;33.3181344402784;7.0859211577549;10.0566869876095;37.4731408236068;30.6770187725477
BRS-Formosa;BRS-Formosa;59.8508455309445;26.7220489562498;5.46678166382416;8.06916789022977;35.4075805707108;17.6367469142902
CPAFRO-04;CPAFRO-04;50.6976465908031;27.1140255877633;4.03559442651072;5.99312818489946;36.7404098860436;25.8404357597402
CPAFRO-40;CPAFRO-40;51.6417227305538;17.1721033639858;4.03559442651072;7.61247370397885;34.7334907082474;15.5428518772356
RR0065;RR0065;43.9691440598353;26.1270860578289;6.21615317591218;7.0322636641104;36.1448530923897;29.7467090301976
Secundina;Secundina;41.2522524427081;21.0723525977625;2.76584927341428;6.25548975952872;38.1326366882418;15.0201428813157
