id;HCN;DMCsg;TCC;CorPol
2019g-08-20;2019g-08-20;4.59012288436837;33.5583426273997;2.96699682318604;2
2019g-08-40;2019g-08-40;5.52348749120373;34.8489148506259;2.50103375097599;3
2019g-09-06;2019g-09-06;4.49860034550727;35.576600074024;0.694238164855412;2
Aipim-PretoJoselito;Aipim-PretoJoselito;2.09399689457683;36.3437248897181;2.55567315227969;1
BGM-0019;BGM-0019;7.1071574061548;36.7398894823689;11.7157980558098;3
BGM-0027;BGM-0027;6.03203089302829;38.5519249614308;2.23487595390343;2
BGM-0049;BGM-0049;6.13809392211332;37.1906003047994;2.0161585934783;3
BGM-0060;BGM-0060;6.86539775520703;35.9246437753864;3.52816121554763;3
BGM-0094;BGM-0094;3.85432965340858;32.6641306658936;6.61873261285916;5
BGM-0123;BGM-0123;3.78702851612306;30.9569831299075;3.22385880104311;2
BGM-0134;BGM-0134;3.82178887137876;37.5843456924252;1.70234672852052;2
BGM-0137;BGM-0137;7.10776094548783;33.2731450248555;2.30720226209251;1
BGM-0185;BGM-0185;3.12697292100928;32.7045288149317;2.30720226209251;1
BGM-0205;BGM-0205;7.83090925461467;29.9812299874429;2.30720226209251;1
BGM-0290;BGM-0290;4.76764981304785;37.9598074155222;2.72577491925978;2
BGM-0314;BGM-0314;6.31169292993783;38.4884475740624;0.81139887635275;2
BGM-0507;BGM-0507;4.57272348236588;32.0881271363886;0.621056580141582;2
BGM-0540;BGM-0540;5.05150015492833;33.3001184115176;2.30720226209251;1
BGM-0544;BGM-0544;6.46270087262996;38.0306025173121;2.30720226209251;1
BGM-0555;BGM-0555;6.4776791203609;33.9456879082181;2.93185304028527;1
BGM-0579;BGM-0579;7.69478044073804;37.2508195889364;14.4097597373776;3
BGM-0607;BGM-0607;7.22267983079058;35.865955429819;13.173531178453;1
BGM-0624;BGM-0624;3.80128932271294;27.136045244367;2.30720226209251;1
BGM-0631;BGM-0631;5.40438828392791;30.76763371993;2.30720226209251;1
BGM-0675;BGM-0675;6.99817894517815;36.8465954661334;6.38547152086697;2
BGM-0679;BGM-0679;6.06792052208962;38.4660987796815;5.04609027898917;3
BGM-0707;BGM-0707;5.24347854578973;35.8543380712748;5.10169570967603;1
BGM-0729;BGM-0729;6.77926458765831;33.5382214090123;9.2192877559403;3
BGM-0760;BGM-0760;5.52084382021859;32.590385702016;3.57067418670017;3
BGM-0776;BGM-0776;6.73455215820195;32.0243849421857;5.52011152961974;3
BGM-0815;BGM-0815;7.98561194061071;37.7973924440317;2.2108227718831;2
BGM-0882;BGM-0882;2.54763747931642;34.6101201924146;1.17511290227437;2
BGM-0893;BGM-0893;6.45520438134189;35.6003851786434;15.0398916631365;3
BGM-0912;BGM-0912;7.07744745256546;33.8707323081976;3.9804007859879;2
BGM-0931;BGM-0931;3.60213873967266;32.8179125561291;2.30720226209251;1
BGM-0951;BGM-0951;7.16047004069135;37.5855212987905;0.528470271452267;3
BGM-0962;BGM-0962;7.57704109207401;33.5516387358771;6.63353746244918;3
BGM-0991;BGM-0991;4.17497839437221;33.7929310934086;1.38742876409289;1
BGM-1110;BGM-1110;3.26449025012846;30.8987593619953;2.30720226209251;1
