id;HCN;DMCsg;TCC;CorPol
11-Conquista-2;11-Conquista-2;2.09399689457683;35.3811169805821;2.30720226209251;1
2019g-08-10;2019g-08-10;4.12344058095069;33.7249680657732;3.69922450808754;1
2019g-08-51;2019g-08-51;5.21236595559194;32.6010037451082;2.48201485006946;2
2019g-08-56;2019g-08-56;4.49860034550727;34.3031391214685;3.1191480304383;2
2019g-09-06;2019g-09-06;4.49860034550727;35.576600074024;0.694238164855412;2
BGM-0019;BGM-0019;7.1071574061548;36.7398894823689;11.7157980558098;3
BGM-0027;BGM-0027;6.03203089302829;38.5519249614308;2.23487595390343;2
BGM-0058;BGM-0058;6.84049254683618;33.3481260364493;3.85148253095868;2
BGM-0060;BGM-0060;6.86539775520703;35.9246437753864;3.52816121554763;3
BGM-0065;BGM-0065;5.84211904847264;33.9525228515489;0.475627620049177;2
BGM-0094;BGM-0094;3.85432965340858;32.6641306658936;6.61873261285916;5
BGM-0120;BGM-0120;7.48057982570086;31.8741495539039;2.69132957566021;2
BGM-0123;BGM-0123;3.78702851612306;30.9569831299075;3.22385880104311;2
BGM-0162-B;BGM-0162-B;6.78604912673124;35.3714632712744;0.738299774527144;1
BGM-0239;BGM-0239;6.10409390840655;34.5326233053468;3.33437974826882;2
BGM-0267;BGM-0267;7.06039675648599;33.5167984225261;2.81135997333918;3
BGM-0330;BGM-0330;3.7572166175154;36.923023218561;2.28536369660901;2
BGM-0443;BGM-0443;3.37996447052073;38.0018375416114;2.30720226209251;1
BGM-0470;BGM-0470;7.42962484344511;38.3818037534426;1.99992689586518;3
BGM-0507;BGM-0507;4.57272348236588;32.0881271363886;0.621056580141582;2
BGM-0555;BGM-0555;6.4776791203609;33.9456879082181;2.93185304028527;1
BGM-0579;BGM-0579;7.69478044073804;37.2508195889364;14.4097597373776;3
BGM-0607;BGM-0607;7.22267983079058;35.865955429819;13.173531178453;1
BGM-0614;BGM-0614;4.5867394973466;35.8709039141713;0.583018778328517;1
BGM-0624;BGM-0624;3.80128932271294;27.136045244367;2.30720226209251;1
BGM-0631;BGM-0631;5.40438828392791;30.76763371993;2.30720226209251;1
BGM-0675;BGM-0675;6.99817894517815;36.8465954661334;6.38547152086697;2
BGM-0679;BGM-0679;6.06792052208962;38.4660987796815;5.02013465211951;3
BGM-0707;BGM-0707;5.24347854578973;35.8543380712748;5.10169570967603;1
BGM-0729;BGM-0729;6.77926458765831;33.5382214090123;9.2192877559403;3
BGM-0760;BGM-0760;5.52084382021859;32.590385702016;3.57067418670017;3
BGM-0776;BGM-0776;6.73455215820195;32.0243849421857;5.52011152961974;3
BGM-0779;BGM-0779;6.38120776420877;34.8930558939051;5.02013465211951;3
BGM-0815;BGM-0815;7.98561194061071;37.7973924440317;2.2108227718831;2
BGM-0882;BGM-0882;2.54763747931642;34.6101201924146;1.17511290227437;2
BGM-0889;BGM-0889;6.72603328785851;37.290411714802;0.576017523718598;2
BGM-0893;BGM-0893;6.45520438134189;35.6003851786434;15.0398916631365;3
BGM-0944;BGM-0944;7.66760735896709;35.6650677561404;9.46735369752251;3
BGM-0952;BGM-0952;7.28333170152252;34.6581135770009;6.78568866970144;3
BGM-0963;BGM-0963;7.83393988114589;35.4726595102072;5.02013465211951;3
BGM-0967;BGM-0967;5.61736361547836;36.5973638695353;4.64606231771654;3
BGM-1130;BGM-1130;4.64166069778989;28.7771229785535;2.30720226209251;1
BGM-1140;BGM-1140;7.61416304785112;34.3885916637664;13.036505569344;3
BGM-1142;BGM-1142;6.79308334119251;36.3098048523795;2.89943138616221;2
BGM-1163;BGM-1163;5.08716889889278;37.9601717967848;2.30720226209251;1
BGM-1171;BGM-1171;6.72159705909221;39.0140092623033;2.30720226209251;1
BGM-1178;BGM-1178;7.2246633294458;34.8850085174355;4.60429892147389;2
BGM-1198;BGM-1198;7.26672331193764;32.724963830512;0.657876983368413;2
BGM-1226;BGM-1226;6.78926617895546;34.4310625519014;1.7324448845875;2
BGM-1292;BGM-1292;7.61091931449749;38.0528975908913;5.7834707776789;1
BGM-1327;BGM-1327;7.00148017385215;29.4863446344637;2.30720226209251;1
BGM-1355;BGM-1355;4.85922484064118;28.778637588025;6.1761252411769;2
BGM-1397;BGM-1397;5.17537556724442;34.4145653239145;2.30720226209251;1
BGM-1412;BGM-1412;5.95753928295152;36.25280708962;2.30720226209251;1
BGM-1488;BGM-1488;3.88628060095211;35.5245113085794;2.30720226209251;1
BGM-1594;BGM-1594;5.84589806712603;33.638870251646;0.705640943749237;1
BGM-1614;BGM-1614;5.80950090944227;35.6546016977983;0.515451934683913;3
BGM-1669;BGM-1669;3.17975535038092;36.2827878805436;1.49492533137033;1
BGM-1700;BGM-1700;6.57350182751339;34.960786047477;11.0011679728557;3
BGM-1710;BGM-1710;7.6125532470911;32.4894260686682;8.05323833234316;3
BGM-1716;BGM-1716;4.53085363192211;32.1826795053213;4.33504320511606;2
BGM-1745;BGM-1745;7.6196964445694;37.7044385571583;7.03572713384367;3
BGM-1754;BGM-1754;7.55734454204891;37.3560008215747;0.483715771543246;1
BGM-1764;BGM-1764;3.69651880761056;33.6825534472898;0.635866978795506;1
BGM-1821;BGM-1821;3.040997291562;34.2834680710044;2.30720226209251;1
BGM-1866;BGM-1866;3.89698632037269;33.062612699331;1.62047582583109;2
BGM-1884;BGM-1884;7.73677592793888;28.3564146081612;5.02013465211951;3
BGM-1942;BGM-1942;7.58257940415498;28.8918874242682;7.40222170141695;1
BGM-1956;BGM-1956;7.45934209614083;31.0165490371373;1.64900417719089;3
BGM-2034;BGM-2034;7.72799062945489;34.5792071089512;0.688549681411003;3
BGM-2041;BGM-2041;4.69776370751601;28.6514657765031;2.3460725830364;2
BGM-2057;BGM-2057;3.40635909840126;30.2528598245515;2.30720226209251;1
BGM-2081;BGM-2081;7.79729217158966;31.0136317292537;2.30720226209251;1
BGM-2163;BGM-2163;7.66707233080123;34.3323660586606;2.30720226209251;1
BGM-2191;BGM-2191;7.59776764041724;35.5292469564628;0.648544012446289;2
BGM-2325;BGM-2325;8.34880302195238;34.5988326033174;2.98786882394978;2
BGM-2326;BGM-2326;6.95189283031875;32.4634757643556;2.30720226209251;1
BGM-2333;BGM-2333;8.24410526144016;36.5365884759114;2.30720226209251;1
BGM-2342;BGM-2342;5.58169051033407;35.6820500077681;2.27698839726656;2
BGM-2351;BGM-2351;7.17924029391375;35.9991955687698;3.25413343664123;1
BGM-2353;BGM-2353;3.26496252647402;35.3146747643403;4.19588089595141;2
BGM-2358;BGM-2358;2.58752004455879;32.1574760592157;1.11683544196808;1
BR-11-34-41;BR-11-34-41;4.42505404572678;32.1709519154597;2.30720226209251;1
BRS-399;BRS-399;5.52711221246511;28.1718772569391;4.30782933709657;2
BRS-Jari;BRS-Jari;4.18740505241189;30.1728311948318;5.91708830272416;3
Conquista-1;Conquista-1;3.5398955696834;33.8964027286156;2.69540421721028;3
CPAFRO-08;CPAFRO-08;6.16506049337712;31.1882592690183;1.85857257732285;2
CPAFRO-09;CPAFRO-09;7.91517044250627;32.6523089012921;3.85555717250875;3
Joao-Florestal-5;Joao-Florestal-5;6.27721534255814;31.4130900504996;1.26898664922034;1
Uberlandia-2;Uberlandia-2;4.98795652099228;37.2321152261408;1.5923079646314;2
