Method,DMCsgMean,DMCsgVar,TCCMean,TCCVar,HCNMean,HCNVar
BAG,34.9150264918923,3.17943835005092,2.57582073213231,1.90030227818191,5.85612209550853,2.18014608448735
CC,34.1080713988326,8.34943868404496,4.04653848689224,12.1955371067874,5.9918126992492,2.55052457567916
CH,34.1277682274146,7.33672190736273,3.73695132197394,10.791805108131,5.99531818480302,2.48367208950662
GW/CH,34.1303221972532,7.48432773984038,3.74849626070326,10.3756828925877,5.90227467464515,2.56225744695928
GW/MLST,34.3451699526911,7.94613900392434,3.58746282609224,10.3643898574954,5.97035033704568,2.80385444465319
