Method,ICMean,ICVar,PTRMean,PTRVar,NRzMean,NRzVar,DRYMean,DRYVar,DMCsgMean,DMCsgVar,PPAMean,PPAVar,PAMean,PAVar,PRzMean,PRzVar
BAG,45.930734076272,49.5080224881482,17.4339596334829,29.2906803427889,3.42467988562652,0.223292698068119,5.40975904067557,2.61762372287263,34.8511889738479,3.19810697241942,19.7531513583266,25.8499757088539,3.38026641671173,0.22362707498317,1.16372249502049,0.0536199267915134
CC,45.5734925481239,100.465506562229,19.3372334263045,62.0922753536363,3.63198291485856,0.673097728564501,5.9768472879386,5.48180110862968,34.3183071820284,8.52699120866362,21.7420961391031,59.5630592919102,3.31202833880421,0.476099255697287,1.27908845495709,0.17087201823232
CH,45.9471371625201,96.3703707250084,19.3489431907326,62.4564492968472,3.61968709229745,0.646661657057107,6.00739914521563,5.78792127081713,34.431100566835,8.1818459692052,21.4677470784673,63.1748316539928,3.31987026729694,0.453704029051297,1.26490739587407,0.160541795709962
GW/CH,45.1170666652331,100.266453936117,19.0864475727004,64.9521822533514,3.6020047926062,0.654081734251712,5.93388499304637,5.70582692623149,34.4178563823669,8.10228827785569,21.8154405012877,59.0048418141241,3.30557307875593,0.438777435054873,1.253533496574,0.164743488828072
GW/MLST,44.495218318362,106.420480142011,18.9734228145694,66.4699497772209,3.59332937861134,0.655047886600781,5.95613556310016,6.41053579518045,34.6615235203262,8.63773312506764,22.3404069067744,58.5503896010546,3.28345799130003,0.451108645131735,1.30387722142236,0.1453104745076
