id,HCN,PRC,PRNC,PTR,PPA,DMCsg,DRY,IC,AP,NMa,PA,Vigor45D,Vigor12M,RF,PRz,NRz,Pod,PodRCas,PodRPol,FrogSkin,MoscBc,MoscBr,MosCm,MosNv,AcSev,MPs,QFs,Anth,BacSev,FerSev,TCC,StC,CorPol,Friab,Cook
11-Conquista-2,2.17415926423196,9.59613171574041,5.73373623176216,15.7367685593855,17.8273972957477,35.3748208406286,4.95608071997987,47.8855541399825,163.049602386454,14.5590660690971,3.72816141651348,2.28349032469511,2.67521670566347,1.95053887975103,0.900709979098665,3.16607919844489,NA,NA,NA,0.452953850905483,NA,NA,NA,NA,3.40577544431826,NA,0.342409655488928,1.51669320811752,NA,NA,NA,20.7862835815508,1,Frie,15
2018g-06-01,4.10599256426742,12.8772542401886,6.13585977704372,20.7946287181218,18.4187315567715,35.7630834574534,6.47835269025122,51.8395029804993,190.987897661534,15.1495565539947,3.25317391355652,2.29915606522604,2.6957244620653,1.99681296299642,0.937658398048288,4.07683263359072,NA,93.5153185368208,NA,0.440726342425295,NA,NA,0.0139387187609152,0.0406882416558423,2.74420030350007,2.1669813102318,0.512098532220182,1.64044667340963,NA,0.0456695706273602,NA,22.4454508879642,1,Coe,>40
2018g-06-02,5.81252649738189,14.2391394720229,5.11813467032202,19.3766576681482,19.3224768228185,34.3219055660643,6.57765086337206,46.6256009311522,187.890977571491,17.241144129664,3.36823480426733,2.29915606522604,2.30856908671467,1.99681296299642,1.06770021622136,3.96473693420562,NA,93.5153185368208,NA,0.420930332587047,NA,NA,0.01473529994512,0.0346846720919381,2.98204858583927,1.88885001219177,0.577808325531923,1.56818775447864,NA,-0.0287049426933393,NA,NA,NA,NA,NA
2018g-06-03,3.82157024208167,13.3648201509126,4.90883978961766,17.1618917524474,16.1387443398485,35.0676024437949,5.18931571482042,53.666351633064,183.907249953536,16.4991125245766,3.50280652852197,2.29915606522604,2.11499139903936,1.99681296299642,1.22532666249176,3.39767000251119,NA,93.5153185368208,NA,0.422872603407531,NA,NA,0.0121778827325164,0.0331115679409004,3.53702791129741,1.49945475302426,0.386881464367903,1.62331255322997,NA,0.0382081566333548,NA,23.349591437875,1,Mcoe,>40
2018g-07-01,5.53035878144273,11.8156876688131,4.2544854060974,15.0345460182869,17.2407283284319,35.0564025388293,4.86545197568386,41.912339239212,207.099117300915,15.2141682589783,3.3095183525812,2.34115435295411,2.48344560190815,2.00577406201463,1.1672856147304,3.0755069760451,NA,93.3168507704526,NA,0.413145748772294,NA,NA,NA,NA,3.0161364929294,NA,0.366925263969701,1.35014678060814,NA,NA,NA,NA,NA,NA,NA
2019g-01-02,4.73780990696882,11.6258649013773,5.03659548062826,15.6562670726029,23.7905437742911,36.4084869952502,4.87026511890225,39.6125074217205,179.848344728021,15.7593227068158,3.27926427853825,2.29915606522604,2.8088104918099,2.05288115893277,1.19774203439444,2.88161791393001,NA,94.2954172021684,NA,0.62710713882479,NA,NA,NA,NA,2.50635202116086,NA,0.412194413708068,1.4301688415142,NA,NA,NA,NA,NA,NA,NA
2019g-01-03,4.73780990696882,14.0407640346984,6.93761638633175,21.5176400503052,19.4349618134186,35.783676522154,6.43067202250569,49.9710137398081,177.394676138352,15.5284186121813,3.10221026039957,2.29915606522604,2.32872038339689,2.05288115893277,0.961302364988847,3.4774182964359,NA,94.2954172021684,NA,0.46802155342715,NA,NA,NA,NA,2.50635202116086,NA,0.533547018271012,1.4301688415142,NA,NA,0.698419622024371,NA,NA,NA,NA
2019g-04-01,7.01318848445478,9.34194492707295,4.67536252657114,11.9103498120835,17.5851487212017,35.4715904726633,NA,NA,181.81304694808,15.6337826165291,3.45631829667693,1.9257237277335,2.5687654376034,1.58785295673879,NA,2.43930643492799,NA,95.0755158675159,NA,NA,NA,NA,NA,NA,3.061331346619,NA,0.7762522273969,1.56825957172501,NA,NA,4.76846441602231,NA,NA,NA,NA
2019g-04-05,5.30665455134031,14.9788939954123,5.28867890899906,20.1644618434185,27.8684128798927,34.3680431314189,6.03002700671562,44.0685252830259,233.357760814369,18.8462638554724,3.27926427853825,2.29915606522604,2.8088104918099,2.05288115893277,1.50117294346495,3.30463618550919,NA,94.2954172021684,NA,0.46802155342715,NA,NA,NA,NA,2.74420030350007,NA,0.412194413708068,1.2920781113034,NA,NA,NA,NA,NA,NA,NA
2019g-05-02,5.30665455134031,10.835860723934,4.8559790035997,13.8544287155605,17.6879818007744,33.1999192034563,4.12989187334867,40.9146085911611,178.867466408262,14.6922319393789,3.45631829667693,2.11243989647977,2.5687654376034,1.82036705783578,0.902192447637449,3.14575608350762,NA,NA,NA,0.46802155342715,NA,NA,NA,NA,2.90276582505953,NA,0.412194413708068,1.4301688415142,NA,NA,NA,NA,NA,NA,NA
2019g-05-03,5.30665455134031,9.34194492707295,5.87860610735134,14.8333614977804,17.0653827792154,36.1872805146148,4.70735558629369,44.840448531918,180.594222880594,15.0542121072783,3.30383287881614,NA,2.8088104918099,NA,NA,3.01671892644384,NA,NA,NA,0.471975489154399,NA,NA,NA,NA,2.60545547213553,NA,NA,1.4301688415142,NA,NA,NA,NA,NA,NA,NA
2019g-05-09,5.30665455134031,11.6338286851556,5.21721195765682,15.7235227238781,20.6975196312993,36.1872805146148,4.99498294433205,41.1853859870497,197.989401318948,15.9959585410874,3.30383287881614,NA,2.94689356133903,NA,NA,3.00680626564529,NA,NA,NA,0.471975489154399,NA,NA,NA,NA,NA,NA,NA,1.4301688415142,NA,NA,NA,NA,NA,NA,NA
