Method,AnthMean,AnthVar,BlLSMean,BlLSVar,BrLSMean,BrLSVar,WhLSMean,WhLSVar,Vigor45DMean,Vigor45DVar,FrogSkinMean,FrogSkinVar,PodMean,PodVar,FerSevMean,FerSevVar,MosCmMean,MosCmVar,MosNvMean,MosNvVar,RFMean,RFVar,AcSevMean,AcSevVar
BAG,3.16251706195107,0.396357175450718,3.32706369130159,0.278906617718144,3.33901912844246,0.296208528831217,1.48537745903602,0.156234667712389,2.2437272912842,0.042910040209583,0.415510773688473,0.0162147877730249,0.0258625661093159,0.000737538096674104,0.052765854870428,0.00270579728849394,0.0256413792001476,0.0057770983080941,0.056023553955601,0.0102627734575034,1.98063741445449,0.086146493412787,3.03004535561805,0.07114132892326
CC,3.20661588758994,0.84002441725014,3.32519689849573,0.520233881646797,3.33316185000804,0.581055061305006,1.55501559785319,0.453407729192434,2.25692614154589,0.0908369943783337,0.480715996426462,0.0527991431630943,0.0454683556892414,0.00405375295286046,0.0862438881379715,0.0154749650267709,0.0853881392692617,0.0293704431360002,0.134842240971736,0.031254983846156,2.06745629448633,0.196278245087337,3.05931418829711,0.122600033619475
CH,3.21228691793349,0.873939605585979,3.31760570677476,0.542262553877254,3.32349713239259,0.588048806083013,1.50773039770954,0.434972580037819,2.27544635304992,0.0902278003094214,0.479898338837186,0.0509564517629081,0.0442556992900129,0.00390273554825823,0.0839872249446115,0.0149462837448344,0.0787126379122,0.0282075615416339,0.129681686112092,0.0304551211249752,2.07589139133636,0.192033861680586,3.05339866036669,0.117049746972842
GW/CH,3.30288686100364,0.846533496810938,3.32435079666209,0.505866039491231,3.33569687861223,0.558377665645595,1.56516230525539,0.42853371478995,2.27141379828093,0.0809455143090619,0.480529809226,0.0509618869061153,0.0455404689679219,0.00395828606651718,0.0842350805633351,0.0150882643452332,0.089420275897435,0.0307399115986949,0.123803332457138,0.0281969599134755,2.04932592124613,0.190732828965384,3.06675125817612,0.1105535926381
GW/MLST,3.15549568272459,0.911269445899898,3.31185645999269,0.564629436490201,3.32729546994918,0.595229008131191,1.57043289411182,0.465475751031317,2.25416034916271,0.104887392512403,0.466952230343453,0.0477047047516216,0.0433543722207514,0.00383748956431901,0.0805467638297387,0.0136278749469604,0.0639628271927166,0.0210385405206771,0.122164113105168,0.0283662133513343,2.10191707792583,0.179178908456212,3.05040680338518,0.135837936573137
