id;Anth;BlLS;BrLS;WhLS;Vigor45D;FrogSkin;MosNv;RF;AcSev
8;BGM-0005;4.78966237530886;3.86882766017158;3.87147471475137;3.06228185287516;2.08846819454565;0.382963829912858;0.0407085208195938;1.9220274553814;3.17173612097747
25;BGM-0032;2.42257037404389;3.3902278156585;3.35734244568523;0.486123827959867;2.24463622716274;0.577994271051673;0.395953487985335;2.58896900606451;3.33015874239375
41;BGM-0056;1.53762724043925;2.58597662545522;2.55242225286446;0.486123827959867;2.27990498423526;0.384686567061546;0.0262276269543012;2.12478407138971;2.92217331707118
44;BGM-0061;3.01253246311366;3.92639527579402;3.89395590756574;3.377609338652;1.85230600073671;0.381868409811664;0.0262276269543012;1.45994621836046;3.00377040213569
45;BGM-0062;3.30751350764854;3.65831154572626;3.62564917662548;1.69090945741492;1.79638495773226;0.383840446778003;0.0262276269543012;1.62039168587246;2.58511846223191
60;BGM-0087;2.42257037404389;3.12214408559074;3.08903571474497;0.96803807974189;1.95920574661135;0.384686567061546;0.120038666320384;2.64362184585835;3.08536748720021
83;BGM-0130;2.71755141857878;2.85406035552298;2.55242225286446;1.2089952056329;1.94947977015697;0.786302185453428;0.0262276269543012;2.44663227231988;2.75897914694215
85;BGM-0132;3.01253246311366;2.58597662545522;2.55242225286446;1.2089952056329;2.8419812175526;0.384583433188957;0.0262276269543012;1.58577727050323;3.16696457226472
91;BGM-0138;1.53762724043925;3.3902278156585;3.35734244568523;2.41378083508796;2.12319766528232;0.402419282936236;0.0555626760673795;2.23652693836875;3.41175582745826
97;BGM-0150;2.86468178584924;3.82839073778939;3.82437760797861;1.46482559063482;2.73383905838277;0.386302692102263;-0.0114916372785904;2.34024541090418;3.52547991114694
107;BGM-0163;1.97973865224459;3.82839073778939;3.82437760797861;2.42865409419887;2.34034365296286;0.478670160560463;-0.0114916372785904;2.51366881863626;2.70950906050179
