Trial	plot_name	Clone	data	Use	Plot	TCC
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1028.762	BGM-1028			762	7.040468052
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1034.765	BGM-1034			765	6.853420769
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1042.771	BGM-1042			771	6.570674476
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1043.772	BGM-1043			772	7.003177917
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1044.773	BGM-1044			773	6.706818722
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1060.775	BGM-1060			775	6.590010906
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1081.786	BGM-1081			786	6.766206142
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1103.794	BGM-1103			794	6.462256763
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1107.797	BGM-1107			797	6.60254604
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1110.799	BGM-1110			799	6.265188162
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1111.800	BGM-1111			800	6.146228867
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1116.801	BGM-1116			801	7.046898366
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1118.802	BGM-1118			802	6.638005341
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.IAC-576.805	IAC-576			805	7.42125787
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1121.806	BGM-1121			806	6.670407163
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1127.811	BGM-1127			811	7.354083712
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1128.812	BGM-1128			812	6.238273504
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1133.817	BGM-1133			817	8.780252357
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1134.818	BGM-1134			818	7.354020629
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1136.819	BGM-1136			819	6.338658395
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1137.820	BGM-1137			820	11.49290481
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1137.821	BGM-1137			821	11.79990715
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1141.823	BGM-1141			823	7.615683175
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1142.825	BGM-1142			825	7.630138183
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1143.826	BGM-1143			826	10.02855329
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1144.827	BGM-1144			827	9.5825954
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1146.828	BGM-1146			828	9.569450954
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1147.829	BGM-1147			829	6.677702859
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1147.831	BGM-1147			831	7.676338201
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1150.834	BGM-1150			834	7.457800088
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1152.835	BGM-1152			835	9.668567663
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1159.841	BGM-1159			841	7.733944704
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1163.843	BGM-1163			843	6.574677264
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BRS-396.844	BRS-396			844	8.730445581
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1164.845	BGM-1164			845	8.499534584
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BRS-399.846	BRS-399			846	8.069594194
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1168.849	BGM-1168			849	7.998669704
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1176(M).853	BGM-1176(M)			853	6.809774617
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1177.854	BGM-1177			854	7.938676452
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1178.856	BGM-1178			856	8.380292803
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.Equador72.857	Equador72			857	6.503539877
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1180.858	BGM-1180			858	6.989310513
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.Eucalipto.859	Eucalipto			859	7.252609247
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1188.861	BGM-1188			861	6.615854525
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1190.864	BGM-1190			864	6.908134331
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1191.865	BGM-1191			865	10.79713979
